id,account_id,transaction_date,transaction_type,category,amount,description,channel,status,_etl_loaded_at
48,17,2018-05-15,credit,Nómina,3100.00,Nómina Mayo,Transfer,completed,2024-01-15
49,18,2018-05-18,debit,Ocio,120.00,Restaurante celebración,POS,completed,2024-01-15
50,19,2018-05-20,debit,Recibos,-200.00,Seguro hogar,Direct_Debit,completed,2024-01-15
51,20,2018-05-22,credit,Pensión,1650.00,Pensión Mayo,Transfer,completed,2024-01-15
52,21,2018-05-25,credit,Nómina,2450.00,Nómina Mayo,Transfer,completed,2024-01-15
53,22,2018-05-28,debit,Compras,78.50,Supermercado DIA,POS,completed,2024-01-15
54,23,2018-06-02,credit,Pensión,1380.00,Pensión Junio,Transfer,completed,2024-01-15
55,24,2018-06-05,credit,Nómina,3500.00,Nómina Junio,Transfer,completed,2024-01-15
56,25,2018-06-08,debit,Ocio,350.00,Vuelo Iberia vacaciones,Online,completed,2024-01-15
57,26,2018-06-10,debit,Recibos,-110.00,Internet fibra Vodafone,Direct_Debit,completed,2024-01-15
58,27,2018-06-12,credit,Pensión,1520.00,Pensión Junio,Transfer,completed,2024-01-15
59,28,2018-06-15,credit,Nómina,2100.00,Nómina Junio,Transfer,completed,2024-01-15
60,29,2018-06-18,debit,Compras,234.00,El Corte Inglés rebajas,POS,completed,2024-01-15
61,30,2018-06-20,credit,Pensión,1750.00,Pensión Junio,Transfer,completed,2024-01-15
62,31,2018-06-22,credit,Nómina,2800.00,Nómina Junio,Transfer,completed,2024-01-15
63,32,2018-06-25,debit,Compras,167.80,Bricolaje Leroy Merlin,POS,completed,2024-01-15
64,33,2018-06-28,credit,Nómina,2350.00,Nómina Junio,Transfer,completed,2024-01-15
65,34,2018-07-02,credit,Intereses,875.00,Intereses trimestrales,System,completed,2024-01-15
66,35,2018-07-05,debit,Ocio,55.00,Parque atracciones,POS,completed,2024-01-15
67,36,2018-07-08,credit,Pensión,1900.00,Pensión Julio,Transfer,completed,2024-01-15
68,37,2018-07-10,debit,Compras,128.40,Supermercado Alcampo,POS,completed,2024-01-15
69,38,2018-07-12,credit,Nómina,3800.00,Nómina Julio + extra,Transfer,completed,2024-01-15
70,39,2018-07-15,debit,Recibos,-75.00,Gimnasio mensualidad,Direct_Debit,completed,2024-01-15
71,40,2018-07-18,credit,Pensión,1600.00,Pensión Julio,Transfer,completed,2024-01-15
72,41,2018-07-20,debit,Compras,456.90,Vacaciones hotel,Online,completed,2024-01-15
73,42,2018-07-22,credit,Nómina,2900.00,Nómina Julio,Transfer,completed,2024-01-15
74,43,2018-07-25,debit,Ocio,89.00,Excursión verano,POS,completed,2024-01-15
75,44,2018-07-28,credit,Pensión,1480.00,Pensión Julio,Transfer,completed,2024-01-15
76,45,2018-08-02,credit,Nómina,2650.00,Nómina Agosto,Transfer,completed,2024-01-15
77,46,2018-08-05,debit,Compras,289.50,Maletas viaje,POS,completed,2024-01-15
78,47,2018-08-08,credit,Pensión,1550.00,Pensión Agosto,Transfer,completed,2024-01-15
79,48,2018-08-10,debit,Recibos,-45.00,Parking mensual,Direct_Debit,completed,2024-01-15
80,49,2018-08-12,credit,Nómina,3200.00,Nómina Agosto,Transfer,completed,2024-01-15
81,50,2018-08-15,debit,Compras,67.80,Farmacia verano,POS,completed,2024-01-15
82,51,2018-08-18,credit,Pensión,1720.00,Pensión Agosto,Transfer,completed,2024-01-15
83,52,2018-08-20,debit,Transferencia,-500.00,Regalo cumpleaños,Transfer,completed,2024-01-15
84,53,2018-08-22,credit,Nómina,3450.00,Nómina Agosto,Transfer,completed,2024-01-15
85,54,2018-08-25,debit,Ocio,145.00,Spa día especial,POS,completed,2024-01-15
86,55,2018-08-28,credit,Pensión,1850.00,Pensión Agosto,Transfer,completed,2024-01-15
87,56,2018-09-02,credit,Nómina,2750.00,Nómina Septiembre,Transfer,completed,2024-01-15
88,57,2018-09-05,debit,Compras,378.90,Material escolar,POS,completed,2024-01-15
89,58,2018-09-08,credit,Pensión,1420.00,Pensión Septiembre,Transfer,completed,2024-01-15
90,59,2018-09-10,debit,Recibos,-280.00,IBI anual,Direct_Debit,completed,2024-01-15
91,60,2018-09-12,credit,Nómina,2600.00,Nómina Septiembre,Transfer,completed,2024-01-15
92,61,2018-09-15,debit,Compras,189.60,Ropa temporada,POS,completed,2024-01-15
93,62,2018-09-18,credit,Pensión,1680.00,Pensión Septiembre,Transfer,completed,2024-01-15
94,63,2018-09-20,debit,Ocio,35.00,Cine IMAX,POS,completed,2024-01-15
95,64,2018-09-22,credit,Nómina,3100.00,Nómina Septiembre,Transfer,completed,2024-01-15
96,65,2018-09-25,debit,Compras,567.80,Electrodoméstico,POS,completed,2024-01-15
97,66,2018-09-28,credit,Pensión,1580.00,Pensión Septiembre,Transfer,completed,2024-01-15
98,67,2018-10-02,credit,Intereses,625.00,Intereses trimestrales,System,completed,2024-01-15
99,68,2018-10-05,debit,Recibos,-95.00,Cuota club deportivo,Direct_Debit,completed,2024-01-15
100,69,2018-10-08,credit,Nómina,3350.00,Nómina Octubre,Transfer,completed,2024-01-15
101,1,2019-01-05,debit,Compras,187.30,Rebajas enero,POS,completed,2024-01-15
102,2,2019-01-10,credit,Intereses,562.50,Intereses trimestrales,System,completed,2024-01-15
103,3,2019-01-15,credit,Nómina,2700.00,Nómina Enero,Transfer,completed,2024-01-15
104,4,2019-01-20,credit,Dividendos,680.00,Dividendos acciones,Transfer,completed,2024-01-15
105,5,2019-01-25,debit,Compras,56.90,Supermercado,POS,completed,2024-01-15
106,6,2019-02-01,debit,Recibos,-145.00,Seguro vida,Direct_Debit,completed,2024-01-15
107,7,2019-02-05,credit,Nómina,3200.00,Nómina Febrero,Transfer,completed,2024-01-15
108,8,2019-02-10,debit,Ocio,78.50,Teatro musical,POS,completed,2024-01-15
109,9,2019-02-15,credit,Pensión,1450.00,Pensión Febrero,Transfer,completed,2024-01-15
110,10,2019-02-20,debit,Compras,234.60,Muebles oficina,POS,completed,2024-01-15
111,11,2019-02-25,credit,Nómina,2650.00,Nómina Febrero,Transfer,completed,2024-01-15
112,12,2019-03-01,debit,Transferencia,-800.00,Ahorro mensual,Transfer,completed,2024-01-15
113,13,2019-03-05,credit,Pensión,1550.00,Pensión Marzo,Transfer,completed,2024-01-15
114,14,2019-03-10,debit,Compras,145.80,Óptica gafas,POS,completed,2024-01-15
115,15,2019-03-15,credit,Nómina,3400.00,Nómina Marzo,Transfer,completed,2024-01-15
116,16,2019-03-20,debit,Ocio,55.00,Concierto local,POS,completed,2024-01-15
117,17,2019-03-25,credit,Pensión,1680.00,Pensión Marzo,Transfer,completed,2024-01-15
118,18,2019-04-01,debit,Recibos,-220.00,ITV coche,POS,completed,2024-01-15
119,19,2019-04-05,credit,Intereses,975.00,Intereses trimestrales,System,completed,2024-01-15
120,20,2019-04-10,credit,Nómina,2450.00,Nómina Abril,Transfer,completed,2024-01-15
121,21,2019-04-15,debit,Compras,89.90,Zapatillas running,POS,completed,2024-01-15
122,22,2019-04-20,credit,Pensión,1420.00,Pensión Abril,Transfer,completed,2024-01-15
123,23,2019-04-25,debit,Transferencia,-1500.00,Pago préstamo familiar,Transfer,completed,2024-01-15
124,24,2019-05-01,credit,Nómina,3500.00,Nómina Mayo,Transfer,completed,2024-01-15
125,25,2019-05-05,debit,Ocio,120.00,Escapada fin semana,Online,completed,2024-01-15
126,26,2019-05-10,credit,Pensión,1580.00,Pensión Mayo,Transfer,completed,2024-01-15
127,27,2019-05-15,debit,Compras,456.70,Aire acondicionado,POS,completed,2024-01-15
128,28,2019-05-20,credit,Nómina,2100.00,Nómina Mayo,Transfer,completed,2024-01-15
129,29,2019-05-25,debit,Recibos,-85.00,Teléfono fijo,Direct_Debit,completed,2024-01-15
130,30,2019-06-01,credit,Pensión,1750.00,Pensión Junio,Transfer,completed,2024-01-15
131,31,2019-06-05,credit,Nómina,2800.00,Nómina Junio,Transfer,completed,2024-01-15
132,32,2019-06-10,debit,Compras,178.50,Ropa verano,POS,completed,2024-01-15
133,33,2019-06-15,credit,Nómina,2350.00,Nómina Junio,Transfer,completed,2024-01-15
134,34,2019-06-20,credit,Intereses,1225.00,Intereses trimestrales,System,completed,2024-01-15
135,35,2019-06-25,debit,Ocio,280.00,Vacaciones anticipadas,Online,completed,2024-01-15
136,36,2019-07-01,credit,Pensión,1900.00,Pensión Julio,Transfer,completed,2024-01-15
137,37,2019-07-05,debit,Compras,345.60,Equipaje viaje,POS,completed,2024-01-15
138,38,2019-07-10,credit,Nómina,3800.00,Nómina Julio + paga extra,Transfer,completed,2024-01-15
139,39,2019-07-15,debit,Recibos,-165.00,Revisión coche,POS,completed,2024-01-15
140,40,2019-07-20,credit,Pensión,1600.00,Pensión Julio,Transfer,completed,2024-01-15
141,41,2019-07-25,credit,Nómina,2900.00,Nómina Julio,Transfer,completed,2024-01-15
142,42,2019-08-01,debit,Compras,567.80,Hotel vacaciones,Online,completed,2024-01-15
143,43,2019-08-05,credit,Pensión,1480.00,Pensión Agosto,Transfer,completed,2024-01-15
144,44,2019-08-10,debit,Ocio,95.00,Actividades verano,POS,completed,2024-01-15
145,45,2019-08-15,credit,Nómina,2650.00,Nómina Agosto,Transfer,completed,2024-01-15
146,46,2019-08-20,debit,Compras,234.50,Supermercado grande,POS,completed,2024-01-15
147,47,2019-08-25,credit,Pensión,1550.00,Pensión Agosto,Transfer,completed,2024-01-15
148,48,2019-09-01,credit,Nómina,3200.00,Nómina Septiembre,Transfer,completed,2024-01-15
149,49,2019-09-05,debit,Recibos,-320.00,Matrícula curso,Transfer,completed,2024-01-15
150,50,2019-09-10,credit,Pensión,1720.00,Pensión Septiembre,Transfer,completed,2024-01-15
151,1,2020-01-10,credit,Nómina,2950.00,Nómina Enero,Transfer,completed,2024-01-15
152,2,2020-01-15,credit,Intereses,625.00,Intereses trimestrales,System,completed,2024-01-15
153,3,2020-02-01,debit,Compras,156.80,Compras febrero,POS,completed,2024-01-15
154,4,2020-02-15,credit,Dividendos,720.00,Dividendos Q4,Transfer,completed,2024-01-15
155,5,2020-03-01,debit,Recibos,-28.50,Suscripciones digitales,Direct_Debit,completed,2024-01-15
156,6,2020-03-15,debit,Compras,89.90,Supermercado online,Online,completed,2024-01-15
157,7,2020-04-01,credit,Nómina,3200.00,Nómina Abril,Transfer,completed,2024-01-15
158,8,2020-04-15,debit,Ocio,45.00,Streaming servicios,Direct_Debit,completed,2024-01-15
159,9,2020-05-01,credit,Pensión,1480.00,Pensión Mayo,Transfer,completed,2024-01-15
160,10,2020-05-15,debit,Compras,234.60,Compras online,Online,completed,2024-01-15
161,11,2020-06-01,credit,Nómina,2700.00,Nómina Junio,Transfer,completed,2024-01-15
162,12,2020-06-15,debit,Transferencia,-600.00,Ahorro mensual,Transfer,completed,2024-01-15
163,13,2020-07-01,credit,Pensión,1580.00,Pensión Julio,Transfer,completed,2024-01-15
164,14,2020-07-15,debit,Compras,345.80,Electrodomésticos,Online,completed,2024-01-15
165,15,2020-08-01,credit,Nómina,3450.00,Nómina Agosto + extra,Transfer,completed,2024-01-15
166,16,2020-08-15,debit,Ocio,180.00,Vacaciones locales,POS,completed,2024-01-15
167,17,2020-09-01,credit,Pensión,1700.00,Pensión Septiembre,Transfer,completed,2024-01-15
168,18,2020-09-15,debit,Recibos,-95.00,Material oficina casa,POS,completed,2024-01-15
169,19,2020-10-01,credit,Intereses,1125.00,Intereses trimestrales,System,completed,2024-01-15
170,20,2020-10-15,credit,Nómina,2500.00,Nómina Octubre,Transfer,completed,2024-01-15
171,21,2020-11-01,debit,Compras,267.90,Black Friday,Online,completed,2024-01-15
172,22,2020-11-15,credit,Pensión,1450.00,Pensión Noviembre,Transfer,completed,2024-01-15
173,23,2020-12-01,credit,Nómina,3600.00,Nómina Diciembre + extra,Transfer,completed,2024-01-15
174,24,2020-12-15,debit,Ocio,456.70,Regalos Navidad,POS,completed,2024-01-15
175,25,2021-01-10,credit,Pensión,1620.00,Pensión Enero,Transfer,completed,2024-01-15
176,26,2021-01-20,debit,Compras,123.40,Rebajas enero,POS,completed,2024-01-15
177,27,2021-02-01,credit,Nómina,3250.00,Nómina Febrero,Transfer,completed,2024-01-15
178,28,2021-02-15,debit,Recibos,-180.00,Seguro hogar,Direct_Debit,completed,2024-01-15
179,29,2021-03-01,credit,Pensión,1780.00,Pensión Marzo,Transfer,completed,2024-01-15
180,30,2021-03-15,debit,Transferencia,-1000.00,Inversión fondo,Transfer,completed,2024-01-15
181,31,2021-04-01,credit,Nómina,2850.00,Nómina Abril,Transfer,completed,2024-01-15
182,32,2021-04-15,debit,Compras,189.50,Ropa primavera,POS,completed,2024-01-15
183,33,2021-05-01,credit,Intereses,587.50,Intereses trimestrales,System,completed,2024-01-15
184,34,2021-05-15,credit,Nómina,3500.00,Nómina Mayo,Transfer,completed,2024-01-15
185,35,2021-06-01,debit,Ocio,320.00,Vacaciones cortas,Online,completed,2024-01-15
186,36,2021-06-15,credit,Pensión,1920.00,Pensión Junio,Transfer,completed,2024-01-15
187,37,2021-07-01,debit,Compras,234.80,Equipamiento verano,POS,completed,2024-01-15
188,38,2021-07-15,credit,Nómina,3850.00,Nómina Julio + extra,Transfer,completed,2024-01-15
189,39,2021-08-01,debit,Recibos,-45.00,Seguros varios,Direct_Debit,completed,2024-01-15
190,40,2021-08-15,credit,Pensión,1650.00,Pensión Agosto,Transfer,completed,2024-01-15
191,41,2021-09-01,credit,Nómina,2950.00,Nómina Septiembre,Transfer,completed,2024-01-15
192,42,2021-09-15,debit,Compras,456.90,Material escolar,POS,completed,2024-01-15
193,43,2021-10-01,credit,Pensión,1520.00,Pensión Octubre,Transfer,completed,2024-01-15
194,44,2021-10-15,debit,Ocio,78.50,Cine y ocio,POS,completed,2024-01-15
195,45,2021-11-01,credit,Nómina,2700.00,Nómina Noviembre,Transfer,completed,2024-01-15
196,46,2021-11-15,debit,Compras,567.80,Black Friday,Online,completed,2024-01-15
197,47,2021-12-01,credit,Pensión,1580.00,Pensión Diciembre,Transfer,completed,2024-01-15
198,48,2021-12-15,credit,Nómina,3300.00,Nómina Diciembre + extra,Transfer,completed,2024-01-15
199,49,2022-01-10,debit,Compras,234.50,Rebajas invierno,POS,completed,2024-01-15
200,50,2022-01-20,credit,Pensión,1750.00,Pensión Enero,Transfer,completed,2024-01-15
201,51,2022-02-01,credit,Nómina,2800.00,Nómina Febrero,Transfer,completed,2024-01-15
202,52,2022-02-15,debit,Recibos,-125.00,Comunidad propietarios,Direct_Debit,completed,2024-01-15
203,53,2022-03-01,credit,Intereses,950.00,Intereses trimestrales,System,completed,2024-01-15
204,54,2022-03-15,debit,Compras,178.90,Primavera ropa,POS,completed,2024-01-15
205,55,2022-04-01,credit,Pensión,1880.00,Pensión Abril,Transfer,completed,2024-01-15
206,56,2022-04-15,credit,Nómina,2850.00,Nómina Abril,Transfer,completed,2024-01-15
207,57,2022-05-01,debit,Ocio,245.00,Viaje puente,Online,completed,2024-01-15
208,58,2022-05-15,credit,Pensión,1450.00,Pensión Mayo,Transfer,completed,2024-01-15
209,59,2022-06-01,credit,Nómina,3150.00,Nómina Junio,Transfer,completed,2024-01-15
210,60,2022-06-15,debit,Compras,345.60,Preparación verano,POS,completed,2024-01-15
211,61,2022-07-01,credit,Pensión,1720.00,Pensión Julio,Transfer,completed,2024-01-15
212,62,2022-07-15,credit,Nómina,3700.00,Nómina Julio + extra,Transfer,completed,2024-01-15
213,63,2022-08-01,debit,Recibos,-65.00,Suscripciones,Direct_Debit,completed,2024-01-15
214,64,2022-08-15,credit,Pensión,1680.00,Pensión Agosto,Transfer,completed,2024-01-15
215,65,2022-09-01,credit,Nómina,2950.00,Nómina Septiembre,Transfer,completed,2024-01-15
216,66,2022-09-15,debit,Compras,289.70,Vuelta al cole,POS,completed,2024-01-15
217,67,2022-10-01,credit,Pensión,1820.00,Pensión Octubre,Transfer,completed,2024-01-15
218,68,2022-10-15,debit,Ocio,156.50,Actividades otoño,POS,completed,2024-01-15
219,69,2022-11-01,credit,Intereses,1175.00,Intereses trimestrales,System,completed,2024-01-15
220,70,2022-11-15,credit,Nómina,2250.00,Nómina Noviembre,Transfer,completed,2024-01-15
221,71,2022-12-01,debit,Compras,678.90,Navidades,POS,completed,2024-01-15
222,72,2022-12-15,credit,Pensión,1580.00,Pensión Diciembre,Transfer,completed,2024-01-15
223,73,2023-01-10,credit,Nómina,3400.00,Nómina Enero,Transfer,completed,2024-01-15
224,74,2023-01-20,debit,Compras,145.80,Rebajas enero,POS,completed,2024-01-15
225,75,2023-02-01,credit,Pensión,1920.00,Pensión Febrero,Transfer,completed,2024-01-15
226,76,2023-02-15,debit,Recibos,-95.00,Seguros febrero,Direct_Debit,completed,2024-01-15
227,77,2023-03-01,credit,Nómina,3550.00,Nómina Marzo,Transfer,completed,2024-01-15
228,78,2023-03-15,debit,Transferencia,-800.00,Ahorro programado,Transfer,completed,2024-01-15
229,79,2023-04-01,credit,Pensión,1850.00,Pensión Abril,Transfer,completed,2024-01-15
230,80,2023-04-15,credit,Intereses,625.00,Intereses trimestrales,System,completed,2024-01-15
231,81,2023-05-01,credit,Nómina,3100.00,Nómina Mayo,Transfer,completed,2024-01-15
232,82,2023-05-15,debit,Compras,234.90,Compras mayo,POS,completed,2024-01-15
233,83,2023-06-01,credit,Pensión,1680.00,Pensión Junio,Transfer,completed,2024-01-15
234,84,2023-06-15,debit,Ocio,345.00,Vacaciones anticipadas,Online,completed,2024-01-15
235,85,2023-07-01,credit,Nómina,3750.00,Nómina Julio + extra,Transfer,completed,2024-01-15
236,86,2023-07-15,debit,Compras,567.80,Verano equipamiento,POS,completed,2024-01-15
237,87,2023-08-01,credit,Pensión,1780.00,Pensión Agosto,Transfer,completed,2024-01-15
238,88,2023-08-15,debit,Recibos,-75.00,Mantenimiento coche,POS,completed,2024-01-15
239,89,2023-09-01,credit,Nómina,3200.00,Nómina Septiembre,Transfer,completed,2024-01-15
240,90,2023-09-15,debit,Compras,289.50,Vuelta rutina,POS,completed,2024-01-15
241,91,2023-10-01,credit,Pensión,1650.00,Pensión Octubre,Transfer,completed,2024-01-15
242,92,2023-10-15,credit,Intereses,787.50,Intereses trimestrales,System,completed,2024-01-15
243,93,2023-11-01,credit,Nómina,3450.00,Nómina Noviembre,Transfer,completed,2024-01-15
244,94,2023-11-15,debit,Ocio,456.70,Black Friday,Online,completed,2024-01-15
245,95,2023-12-01,credit,Pensión,1920.00,Pensión Diciembre,Transfer,completed,2024-01-15
246,96,2023-12-15,credit,Nómina,3600.00,Nómina Diciembre + extra,Transfer,completed,2024-01-15
247,97,2024-01-10,debit,Compras,234.80,Rebajas enero 2024,POS,completed,2024-01-15
248,98,2024-01-15,credit,Pensión,1750.00,Pensión Enero,Transfer,completed,2024-01-15
249,99,2024-01-20,credit,Nómina,3300.00,Nómina Enero,Transfer,completed,2024-01-15
250,100,2024-01-25,debit,Recibos,-120.00,Seguros anuales,Direct_Debit,completed,2024-01-15
251,102,2018-03-15,debit,Compras,450.00,Compra con tarjeta crédito,POS,completed,2024-01-15
252,102,2018-04-01,credit,Pago_Tarjeta,-450.00,Pago tarjeta mensual,Direct_Debit,completed,2024-01-15
253,103,2018-08-10,debit,Compras,1200.00,Viaje vacaciones TC,POS,completed,2024-01-15
254,103,2018-09-01,credit,Pago_Tarjeta,-1200.00,Pago tarjeta mensual,Direct_Debit,completed,2024-01-15
255,104,2019-02-20,debit,Compras,680.00,Electrodoméstico TC,POS,completed,2024-01-15
256,104,2019-03-01,credit,Pago_Tarjeta,-680.00,Pago tarjeta mensual,Direct_Debit,completed,2024-01-15
257,105,2019-07-15,debit,Compras,320.00,Ropa TC,POS,completed,2024-01-15
258,105,2019-08-01,credit,Pago_Tarjeta,-320.00,Pago tarjeta mensual,Direct_Debit,completed,2024-01-15
259,106,2020-01-10,debit,Compras,2500.00,Muebles TC Platinum,POS,completed,2024-01-15
260,106,2020-02-01,credit,Pago_Tarjeta,-2500.00,Pago tarjeta mensual,Direct_Debit,completed,2024-01-15
261,1,2018-06-15,debit,ATM,-200.00,Retirada cajero Madrid Centro,ATM,completed,2024-01-15
262,3,2018-09-20,debit,ATM,-100.00,Retirada cajero Valencia,ATM,completed,2024-01-15
263,7,2019-03-10,debit,ATM,-300.00,Retirada cajero Bilbao,ATM,completed,2024-01-15
264,11,2019-08-05,debit,ATM,-150.00,Retirada cajero Vigo,ATM,completed,2024-01-15
265,15,2020-02-15,debit,ATM,-250.00,Retirada cajero San Sebastián,ATM,completed,2024-01-15
266,1,2023-06-01,debit,Fraude,1500.00,Compra sospechosa online,Online,reversed,2024-01-15
267,15,2023-09-15,debit,Fraude,2300.00,Transacción no autorizada,Online,reversed,2024-01-15
268,27,2023-11-20,debit,Fraude,890.00,Cargo fraudulento,POS,reversed,2024-01-15
